start_s,end_s,label
0.2438095211982727,0.7438095211982727,D:maj
0.7438095211982727,1.2438095211982727,D:min
1.2438095211982727,1.7438095211982727,C:maj
1.7438095211982727,2.2438095211982727,D#:maj
2.2438095211982727,3.2438095211982727,C#:maj
3.2438095211982727,4.243809521198273,D:maj
4.243809521198273,4.743809521198273,C:maj
4.743809521198273,5.243809521198273,D:maj
5.243809521198273,5.743809521198273,C:maj
5.743809521198273,7.243809521198273,D:maj
7.243809521198273,8.243809521198273,C:maj
8.243809521198273,8.743809521198273,D#:maj
8.743809521198273,9.243809521198273,F#:maj
9.243809521198273,9.743809521198273,C#:min
9.743809521198273,10.243809521198273,D:maj
10.243809521198273,10.743809521198273,D#:maj
10.743809521198273,11.243809521198273,C#:maj
11.243809521198273,11.743809521198273,C:min
11.743809521198273,12.243809521198273,D:maj
12.243809521198273,13.200544357299805,C#:maj
