time_s,f0_hz,voiced,confidence
0.0,0.0,0,0.0
0.01160997711122036,0.0,0,0.0
0.02321995422244072,0.0,0,0.0
0.03482993319630623,0.0,0,0.009999999776482582
0.04643990844488144,0.0,0,0.009999999776482582
0.05804988741874695,0.0,0,0.009999999776482582
0.06965986639261246,0.0,0,0.009999999776482582
0.08126983791589737,0.0,0,0.009999999776482582
0.09287981688976288,0.0,0,0.009999999776482582
0.10448979586362839,0.0,0,0.010000328533351421
0.1160997748374939,0.0,0,0.010000047273933887
0.1277097463607788,0.0,0,0.009999999776482582
0.13931973278522491,0.0,0,0.010000047273933887
0.15092970430850983,0.0,0,0.010000002570450306
0.16253967583179474,0.0,0,0.010026725009083748
0.17414966225624084,0.0,0,0.020317628979682922
0.18575963377952576,0.0,0,0.20650680363178253
0.19736962020397186,105.33610534667969,1,0.6159498691558838
0.20897959172725677,105.33610534667969,1,0.9459301829338074
0.2205895632505417,105.9463119506836,1,1.0
0.2321995496749878,105.9463119506836,1,0.9848789572715759
0.2438095211982727,0.0,0,0.015085587278008461
0.2554194927215576,0.0,0,0.010001872666180134
0.26702946424484253,0.0,0,0.012403124943375587
0.27863946557044983,0.0,0,0.10857976973056793
0.29024943709373474,0.0,0,0.06608150899410248
0.30185940861701965,0.0,0,0.016467588022351265
0.31346938014030457,0.0,0,0.011422334238886833
0.3250793516635895,0.0,0,0.012403124943375587
0.3366893529891968,0.0,0,0.047686994075775146
0.3482993245124817,0.0,0,0.1765306144952774
0.3599092960357666,0.0,0,0.42606231570243835
0.3715192675590515,171.11900329589844,1,0.8266685605049133
0.3831292390823364,172.11029052734375,1,0.9848789572715759
0.3947392404079437,173.10731506347656,1,1.0
0.40634921193122864,172.11029052734375,1,1.0
0.41795918345451355,172.11029052734375,1,1.0
0.42956915497779846,172.11029052734375,1,1.0
0.4411791265010834,172.11029052734375,1,1.0
0.4527891278266907,172.11029052734375,1,1.0
0.4643990993499756,172.11029052734375,1,1.0
0.4760090708732605,173.10731506347656,1,1.0
0.4876190423965454,173.10731506347656,1,1.0
0.4992290139198303,173.10731506347656,1,1.0
0.5108389854431152,173.10731506347656,1,1.0
0.5224489569664001,173.10731506347656,1,1.0
0.5340589284896851,173.10731506347656,1,1.0
0.5456689596176147,173.10731506347656,1,1.0
0.5572789311408997,173.10731506347656,1,0.9848789572715759
0.5688889026641846,172.11029052734375,1,0.8266685605049133
0.5804988741874695,171.11900329589844,1,0.6159498691558838
0.5921088457107544,0.0,0,0.3721359074115753
0.6037188172340393,0.0,0,0.3721359074115753
0.6153287887573242,0.0,0,0.484986811876297
0.6269387602806091,0.0,0,0.07797523587942123
0.638548731803894,0.0,0,0.3721359074115753
0.650158703327179,177.15350341796875,1,0.7571601271629333
0.6617687344551086,177.15350341796875,1,0.9459301829338074
0.6733787059783936,176.1331787109375,1,0.9459301829338074
0.6849886775016785,174.110107421875,1,0.9459301829338074
0.6965986490249634,173.10731506347656,1,0.9848789572715759
0.7082086205482483,172.11029052734375,1,1.0
0.7198185920715332,172.11029052734375,1,1.0
0.7314285635948181,171.11900329589844,1,1.0
0.743038535118103,171.11900329589844,1,1.0
0.7546485066413879,171.11900329589844,1,1.0
0.7662584781646729,171.11900329589844,1,1.0
0.7778685092926025,171.11900329589844,1,1.0
0.7894784808158875,171.11900329589844,1,1.0
0.8010884523391724,171.11900329589844,1,1.0
0.8126984238624573,172.11029052734375,1,0.9848789572715759
0.8243083953857422,173.10731506347656,1,0.8911445140838623
0.8359183669090271,174.110107421875,1,0.8911445140838623
0.847528338432312,176.1331787109375,1,0.9459301829338074
0.8591383099555969,177.15350341796875,1,0.9848789572715759
0.8707482814788818,177.15350341796875,1,0.9848789572715759
0.8823582530021667,176.1331787109375,1,0.9459301829338074
0.8939682245254517,175.1187286376953,1,0.5485250353813171
0.9055782556533813,0.0,0,0.20650680363178253
0.9171882271766663,0.0,0,0.10857976973056793
0.9287981986999512,0.0,0,0.030106861144304276
0.9404081702232361,0.0,0,0.011853505857288837
0.952018141746521,0.0,0,0.012403124943375587
0.9636281132698059,0.0,0,0.03489742800593376
0.9752380847930908,0.0,0,0.06608150899410248
0.9868480563163757,0.0,0,0.3721359074115753
0.9984580278396606,138.1912841796875,1,0.7571601271629333
1.0100680589675903,138.1912841796875,1,0.9459301829338074
1.0216779708862305,138.1912841796875,1,0.9848789572715759
1.0332880020141602,138.9918212890625,1,0.9459301829338074
1.0448979139328003,139.7969970703125,1,0.9848789572715759
1.05650794506073,140.60682678222656,1,1.0
1.0681178569793701,140.60682678222656,1,1.0
1.0797278881072998,140.60682678222656,1,1.0
1.0913379192352295,139.7969970703125,1,1.0
1.1029478311538696,139.7969970703125,1,1.0
1.1145578622817993,140.60682678222656,1,1.0
1.1261677742004395,141.42135620117188,1,0.9459301829338074
1.1377778053283691,142.2406005859375,1,0.9459301829338074
1.1493877172470093,143.06459045410156,1,0.8911445140838623
1.160997748374939,143.8933563232422,1,0.9848789572715759
1.172607660293579,144.7269287109375,1,1.0
1.1842176914215088,144.7269287109375,1,1.0
1.1958277225494385,144.7269287109375,1,1.0
1.2074376344680786,144.7269287109375,1,1.0
1.2190476655960083,145.56532287597656,1,1.0
1.2306575775146484,145.56532287597656,1,1.0
1.2422676086425781,144.7269287109375,1,0.9848789572715759
1.2538775205612183,143.8933563232422,1,0.8911445140838623
1.265487551689148,142.2406005859375,1,0.5485250353813171
1.277097463607788,0.0,0,0.3721359074115753
1.2887074947357178,0.0,0,0.20650680363178253
1.300317406654358,0.0,0,0.10857976973056793
