start_s,end_s,label
1.0797278881072998,1.5797278881072998,E:maj
1.5797278881072998,2.5797278881073,C:maj
2.5797278881073,3.0797278881073,E:maj
3.0797278881073,3.5797278881073,C#:maj
3.5797278881073,4.0797278881073,D:maj
4.0797278881073,5.0797278881073,E:maj
5.0797278881073,5.5797278881073,C:maj
5.5797278881073,7.685804843902588,D:maj
