time_s,f0_hz,voiced,confidence
0.0,0.0,0,0.0
0.01160997711122036,0.0,0,0.0
0.02321995422244072,0.0,0,0.0
0.03482993319630623,0.0,0,0.0
0.04643990844488144,0.0,0,0.009999999776482582
0.05804988741874695,0.0,0,0.009999999776482582
0.06965986639261246,0.0,0,0.009999999776482582
0.08126983791589737,0.0,0,0.009999999776482582
0.09287981688976288,0.0,0,0.009999999776482582
0.10448979586362839,0.0,0,0.009999999776482582
0.1160997748374939,0.0,0,0.009999999776482582
0.1277097463607788,0.0,0,0.009999999776482582
0.13931973278522491,0.0,0,0.009999999776482582
0.15092970430850983,0.0,0,0.010000000707805157
0.16253967583179474,0.0,0,0.010000002570450306
0.17414966225624084,0.0,0,0.01000002771615982
0.18575963377952576,0.0,0,0.010006178170442581
0.19736962020397186,0.0,0,0.010004190728068352
0.20897959172725677,0.0,0,0.010000016540288925
0.2205895632505417,0.0,0,0.010000002570450306
0.2321995496749878,0.0,0,0.01000000536441803
0.2438095211982727,0.0,0,0.009999999776482582
0.2554194927215576,0.0,0,0.009999999776482582
0.26702946424484253,0.0,0,0.010000002570450306
0.27863946557044983,0.0,0,0.009999999776482582
0.29024943709373474,0.0,0,0.009999999776482582
0.30185940861701965,0.0,0,0.010000009089708328
0.31346938014030457,0.0,0,0.01000002771615982
0.3250793516635895,0.0,0,0.010000000707805157
0.3366893529891968,0.0,0,0.010000016540288925
0.3482993245124817,0.0,0,0.0100008025765419
0.3599092960357666,0.0,0,0.010006178170442581
0.3715192675590515,0.0,0,0.010006178170442581
0.3831292390823364,0.0,0,0.0100008025765419
0.3947392404079437,0.0,0,0.010018764063715935
0.40634921193122864,0.0,0,0.01000902522355318
0.41795918345451355,0.0,0,0.010000206530094147
0.42956915497779846,0.0,0,0.010000516660511494
0.4411791265010834,0.0,0,0.01000000536441803
0.4527891278266907,0.0,0,0.01000000536441803
0.4643990993499756,0.0,0,0.010000516660511494
0.4760090708732605,0.0,0,0.010000206530094147
0.4876190423965454,0.0,0,0.010000128298997879
0.4992290139198303,0.0,0,0.009999999776482582
0.5108389854431152,0.0,0,0.010000016540288925
0.5224489569664001,0.0,0,0.010000128298997879
0.5340589284896851,0.0,0,0.009999999776482582
0.5456689596176147,0.0,0,0.010000001639127731
0.5572789311408997,0.0,0,0.010001232847571373
0.5688889026641846,0.0,0,0.010037765838205814
0.5804988741874695,0.0,0,0.010073752142488956
0.5921088457107544,0.0,0,0.011422334238886833
0.6037188172340393,0.0,0,0.015085587278008461
0.6153287887573242,0.0,0,0.03489742800593376
0.6269387602806091,0.0,0,0.32333606481552124
0.638548731803894,102.33738708496094,1,0.6860828399658203
0.650158703327179,0.0,0,0.20650680363178253
0.6617687344551086,0.0,0,0.06608150899410248
0.6733787059783936,0.0,0,0.10857976973056793
0.6849886775016785,104.72941589355469,1,0.6860828399658203
0.6965986490249634,105.33610534667969,1,0.7571601271629333
0.7082086205482483,105.33610534667969,1,0.6159498691558838
0.7198185920715332,105.9463119506836,1,0.5485250353813171
0.7314285635948181,106.56005096435547,1,0.6860828399658203
0.743038535118103,106.56005096435547,1,0.6159498691558838
0.7546485066413879,0.0,0,0.3721359074115753
0.7662584781646729,0.0,0,0.1765306144952774
0.7778685092926025,0.0,0,0.06608150899410248
0.7894784808158875,0.0,0,0.015085587278008461
0.8010884523391724,0.0,0,0.010101974941790104
0.8126984238624573,0.0,0,0.01000902522355318
0.8243083953857422,0.0,0,0.010013069026172161
0.8359183669090271,0.0,0,0.011422334238886833
0.847528338432312,0.0,0,0.020317628979682922
0.8591383099555969,0.0,0,0.018187375739216805
0.8707482814788818,0.0,0,0.011422334238886833
0.8823582530021667,0.0,0,0.010073752142488956
0.8939682245254517,0.0,0,0.01000007800757885
0.9055782556533813,0.0,0,0.010000001639127731
0.9171882271766663,0.0,0,0.01000000536441803
0.9287981986999512,0.0,0,0.010001232847571373
0.9404081702232361,0.0,0,0.010000328533351421
0.952018141746521,0.0,0,0.010000008158385754
0.9636281132698059,0.0,0,6.225740634135946e-08
0.9752380847930908,0.0,0,6.245127082138424e-08
0.9868480563163757,0.0,0,9.66634274846001e-08
0.9984580278396606,0.0,0,0.010073752142488956
1.0100680589675903,0.0,0,0.03489742800593376
1.0216779708862305,0.0,0,0.2407543957233429
1.0332880020141602,125.26644134521484,1,0.7571601271629333
1.0448979139328003,125.26644134521484,1,0.7571601271629333
1.05650794506073,0.0,0,0.3721359074115753
1.0681178569793701,0.0,0,0.3721359074115753
1.0797278881072998,120.9994125366211,1,0.6159498691558838
1.0913379192352295,120.30250549316406,1,0.8911445140838623
1.1029478311538696,120.30250549316406,1,0.9459301829338074
1.1145578622817993,120.30250549316406,1,0.9459301829338074
1.1261677742004395,120.30250549316406,1,0.9848789572715759
1.1377778053283691,120.30250549316406,1,0.9848789572715759
1.1493877172470093,120.30250549316406,1,0.9848789572715759
1.160997748374939,120.9994125366211,1,0.9848789572715759
1.172607660293579,120.9994125366211,1,0.9848789572715759
1.1842176914215088,120.30250549316406,1,0.9459301829338074
1.1958277225494385,119.60961151123047,1,0.8911445140838623
1.2074376344680786,119.60961151123047,1,0.9459301829338074
1.2190476655960083,118.92070770263672,1,0.9848789572715759
1.2306575775146484,119.60961151123047,1,0.9459301829338074
1.2422676086425781,119.60961151123047,1,0.9459301829338074
1.2538775205612183,120.9994125366211,1,0.9459301829338074
1.265487551689148,121.70034790039062,1,0.9848789572715759
1.277097463607788,122.40535736083984,1,0.9848789572715759
1.2887074947357178,122.40535736083984,1,0.9848789572715759
